path,error_code,count,total_for_path
src/thinking/patterns/trend_detector.py,attr-defined,13,18
src/thinking/patterns/trend_detector.py,assignment,3,18
src/thinking/patterns/trend_detector.py,misc,1,18
src/thinking/patterns/trend_detector.py,typeddict-unknown-key,1,18
src/thinking/patterns/cycle_detector.py,misc,3,11
src/thinking/patterns/cycle_detector.py,assignment,3,11
src/thinking/patterns/cycle_detector.py,type-var,3,11
src/thinking/patterns/cycle_detector.py,attr-defined,2,11
src/data_integration/data_fusion.py,attr-defined,5,10
src/data_integration/data_fusion.py,assignment,3,10
src/data_integration/data_fusion.py,return-value,1,10
src/data_integration/data_fusion.py,arg-type,1,10
src/intelligence/sentient_adaptation.py,call-arg,4,9
src/intelligence/sentient_adaptation.py,attr-defined,3,9
src/intelligence/sentient_adaptation.py,arg-type,2,9
src/sensory/organs/dimensions/institutional_tracker.py,attr-defined,5,8
src/sensory/organs/dimensions/institutional_tracker.py,no-any-return,3,8
src/trading/portfolio/real_portfolio_monitor.py,attr-defined,6,7
src/trading/portfolio/real_portfolio_monitor.py,index,1,7
src/sensory/organs/dimensions/integration_orchestrator.py,import-not-found,4,6
src/sensory/organs/dimensions/integration_orchestrator.py,arg-type,2,6
src/evolution/mutation/gaussian_mutation.py,attr-defined,5,7
src/evolution/mutation/gaussian_mutation.py,assignment,1,7
src/evolution/mutation/gaussian_mutation.py,misc,1,7
src/genome/models/genome_adapter.py,assignment,5,6
src/genome/models/genome_adapter.py,misc,1,6
src/orchestration/enhanced_intelligence_engine.py,operator,5,5