path,loc,internal_imports
src/trading/monitoring/parity_checker.py,98,1
src/trading/monitoring/performance_tracker.py,582,0
src/trading/monitoring/portfolio_monitor.py,196,1
src/trading/monitoring/portfolio_tracker.py,128,0
src/trading/monitoring/__init__.py,1,0
src/trading/portfolio/__init__.py,8,0
src/trading/portfolio/real_portfolio_monitor.py,513,0
src/trading/integration/fix_broker_interface.py,311,0
src/trading/integration/__init__.py,1,0
src/trading/risk_management/__init__.py,32,0
src/trading/strategy_engine/testing/strategy_tester.py,121,0
src/trading/strategy_engine/testing/__init__.py,0,0
src/trading/strategy_engine/__init__.py,8,1
src/trading/trading_manager.py,144,1
src/trading/strategies/__init__.py,0,0
src/trading/strategies/strategy_registry.py,8,1
src/trading/strategies/order_book_analyzer.py,590,1
src/trading/risk/market_regime_detector.py,18,0
src/trading/risk/__init__.py,9,0
src/trading/risk/portfolio_caps.py,37,0
src/trading/models.py,71,1
src/trading/models/trade.py,39,0
src/trading/models/position.py,178,0
src/trading/models/order.py,89,0
src/trading/models/__init__.py,33,0
src/trading/__init__.py,5,0
src/trading/performance/reporting/__init__.py,1,0
src/trading/performance/analytics/__init__.py,1,0
src/trading/performance/__init__.py,1,0
src/trading/performance/dashboards/__init__.py,1,0
src/trading/execution/liquidity_prober.py,297,1
src/trading/execution/execution_engine.py,9,0
src/trading/execution/__init__.py,17,0
src/trading/execution/execution_model.py,31,1
src/trading/execution/fix_executor.py,218,0
src/trading/order_management/order_book/snapshot.py,50,0
src/trading/order_management/order_book/__init__.py,1,0
src/trading/order_management/monitoring/__init__.py,1,0
src/trading/order_management/smart_routing/__init__.py,1,0
src/trading/order_management/__init__.py,1,0
src/trading/order_management/execution/__init__.py,1,0
src/simulation/__init__.py,0,0
src/sensory/dimensions/why/yield_signal.py,82,0
src/sensory/dimensions/why/__init__.py,0,0
src/sensory/dimensions/__init__.py,32,3
src/sensory/when/when_sensor.py,31,1
src/sensory/when/__init__.py,0,0
src/sensory/signals.py,32,0
src/sensory/utils/__init__.py,1,0
src/sensory/tests/test_integration.py,739,0
src/sensory/tests/__init__.py,1,0
src/sensory/why/why_sensor.py,41,1
src/sensory/why/__init__.py,0,0
src/sensory/organs/dimensions/regime_detection.py,31,0
src/sensory/organs/dimensions/pattern_engine.py,824,2
src/sensory/organs/dimensions/temporal_system.py,187,0
src/sensory/organs/dimensions/economic_analysis.py,43,0
src/sensory/organs/dimensions/chaos_dimension.py,208,0
src/sensory/organs/dimensions/integration_orchestrator.py,410,7
src/sensory/organs/dimensions/utils.py,458,0
src/sensory/organs/dimensions/data_integration.py,64,0
src/sensory/organs/dimensions/what_organ.py,404,2
src/sensory/organs/dimensions/anomaly_detection.py,396,0
src/sensory/organs/dimensions/indicators.py,14,0
src/sensory/organs/dimensions/when_organ.py,365,1
src/sensory/organs/dimensions/base_organ.py,342,2
src/sensory/organs/dimensions/sensory_signal.py,5,1
src/sensory/organs/dimensions/patterns.py,19,0
src/sensory/organs/dimensions/how_organ.py,287,1
src/sensory/organs/dimensions/anomaly_dimension.py,195,0
src/sensory/organs/dimensions/why_organ.py,441,4
src/sensory/organs/dimensions/institutional_tracker.py,633,1
src/sensory/organs/dimensions/__init__.py,1,0
src/sensory/organs/dimensions/order_flow.py,18,0
src/sensory/organs/dimensions/chaos_adaptation.py,415,0
src/sensory/organs/dimensions/macro_intelligence.py,311,1
src/sensory/organs/economic_organ.py,77,1
src/sensory/organs/orderbook_organ.py,305,3
src/sensory/organs/volume_organ.py,341,3
src/sensory/organs/analyzers/anomaly_organ.py,846,1
src/sensory/organs/analyzers/__init__.py,1,0
src/sensory/organs/price_organ.py,282,3
src/sensory/organs/news_organ.py,89,1
src/sensory/organs/fix_sensory_organ.py,183,0
src/sensory/organs/__init__.py,1,0
src/sensory/organs/sentiment_organ.py,71,1
src/sensory/organs/yahoo_finance_organ.py,293,0
src/sensory/integration/__init__.py,1,0
src/sensory/services/symbol_mapper.py,206,2
src/sensory/services/__init__.py,0,0
src/sensory/core/__init__.py,15,1
src/sensory/real_sensory_organ.py,9,0
src/sensory/anomaly/anomaly_sensor.py,13,0
src/sensory/anomaly/__init__.py,7,0
src/sensory/vendor/np_pd_shims.py,21,0
src/sensory/vendor/__init__.py,0,0
src/sensory/enhanced/what_dimension.py,46,2
src/sensory/enhanced/how_dimension.py,19,0
src/sensory/enhanced/anomaly/manipulation_detection.py,13,0
src/sensory/enhanced/anomaly/__init__.py,0,0
src/sensory/enhanced/why_dimension.py,17,0
src/sensory/enhanced/when_dimension.py,46,2
src/sensory/enhanced/anomaly_dimension.py,21,0
src/sensory/enhanced/__init__.py,0,0
src/sensory/what/volatility_engine.py,32,0
src/sensory/what/patterns/orchestrator.py,44,1
src/sensory/what/patterns/__init__.py,0,0
src/sensory/what/features/swing_analysis.py,109,0
src/sensory/what/features/__init__.py,0,0
src/sensory/what/what_sensor.py,58,2
src/sensory/what/__init__.py,0,0
src/sensory/models/__init__.py,82,1
src/sensory/calibration/__init__.py,1,0
src/sensory/__init__.py,20,2
src/sensory/examples/__init__.py,1,0
src/intelligence/predictive_modeling.py,114,0
src/intelligence/specialized_predators.py,41,5
src/intelligence/competitive_intelligence.py,181,0
src/intelligence/red_team_ai.py,975,0
src/intelligence/portfolio_evolution.py,593,0
src/intelligence/__init__.py,220,0
src/intelligence/adversarial_training.py,66,0
src/intelligence/sentient_adaptation.py,285,3
src/risk.py,16,2
src/portfolio/__init__.py,0,0
src/evolution/engine/__init__.py,17,4
src/evolution/episodic_memory_system.py,13,0
src/evolution/mutation/gaussian_mutation.py,184,1
src/evolution/mutation/__init__.py,0,0
src/evolution/meta/__init__.py,1,0
src/evolution/ambusher/ambusher_fitness.py,13,0
src/evolution/ambusher/ambusher_orchestrator.py,158,1
src/evolution/ambusher/__init__.py,0,0
src/evolution/selection/adversarial_selector.py,23,0
src/evolution/selection/__init__.py,0,0
src/evolution/__init__.py,31,4
src/evolution/evaluation/__init__.py,1,0
src/market_intelligence/dimensions/enhanced_why_dimension.py,25,0
src/market_intelligence/dimensions/enhanced_anomaly_dimension.py,25,0
src/market_intelligence/dimensions/enhanced_how_dimension.py,25,0
src/market_intelligence/dimensions/__init__.py,16,0
src/market_intelligence/dimensions/enhanced_when_dimension.py,25,0
src/market_intelligence/dimensions/enhanced_what_dimension.py,25,0
src/market_intelligence/__init__.py,2,0
src/config/portfolio_config.py,40,0
src/config/sensory_config.py,50,0
src/config/risk/risk_config.py,56,0
src/config/risk/__init__.py,0,0
src/config/risk_config.py,6,0
src/config/__init__.py,0,0
src/config/evolution_config.py,6,0
src/data_foundation/replay/multidim_replayer.py,68,0
src/data_foundation/replay/__init__.py,0,0
src/data_foundation/config/vol_config.py,103,1
src/data_foundation/config/execution_config.py,59,0
src/data_foundation/config/sizing_config.py,40,0
src/data_foundation/config/risk_portfolio_config.py,39,0
src/data_foundation/config/__init__.py,0,0
src/data_foundation/config/why_config.py,49,0
src/data_foundation/ingest/yahoo_ingest.py,95,0
src/data_foundation/ingest/fred_calendar.py,16,1
src/data_foundation/ingest/__init__.py,0,0
src/data_foundation/persist/parquet_writer.py,31,0
src/data_foundation/persist/jsonl_writer.py,17,0
src/data_foundation/persist/__init__.py,0,0
src/data_foundation/schemas.py,65,0
src/data_foundation/__init__.py,0,0
src/integration/component_integrator_impl.py,266,2
src/integration/component_integrator.py,285,2
src/integration/__init__.py,12,0
src/ecosystem/species/species_manager.py,14,1
src/ecosystem/species/factories.py,252,2
src/ecosystem/species/__init__.py,0,0
src/ecosystem/evolution/specialized_predator_evolution.py,164,4
src/ecosystem/evolution/__init__.py,0,0
src/ecosystem/optimization/ecosystem_optimizer.py,546,7
src/ecosystem/optimization/__init__.py,0,0
src/ecosystem/coordination/coordination_engine.py,397,2
src/ecosystem/coordination/__init__.py,0,0
src/ecosystem/__init__.py,0,0
src/ecosystem/evaluation/__init__.py,0,0
src/ecosystem/evaluation/niche_detector.py,355,1
src/phase3_integration.py,272,0
src/genome/models/adapters.py,75,0
src/genome/models/__init__.py,1,0
src/genome/models/genome.py,293,0
src/genome/models/genome_adapter.py,242,0
src/genome/__init__.py,27,0
src/ui/cli/__init__.py,1,0
src/ui/cli/main_cli.py,214,1
src/ui/api/__init__.py,1,0
src/ui/models/__init__.py,1,0
src/ui/ui_manager.py,166,0
src/ui/__init__.py,13,0
src/system/requirements_check.py,60,0
src/system/__init__.py,0,0
src/operational/event_bus.py,25,1
src/operational/container/__init__.py,2,0
src/operational/monitoring/__init__.py,1,0
src/operational/metrics_registry.py,207,1
src/operational/state_store.py,71,0
src/operational/mock_fix.py,118,0
src/operational/metrics.py,336,2
src/operational/state/__init__.py,1,0
src/operational/fix_connection_manager.py,218,0
src/operational/health_monitor.py,171,2
src/operational/icmarkets_robust_application.py,558,1
src/operational/__init__.py,1,0
src/operational/bus/__init__.py,2,0
src/operational/md_capture.py,98,0
src/core/event_bus.py,47,0
src/core/base.py,139,0
src/core/configuration.py,169,0
src/core/telemetry.py,78,0
src/core/strategy/engine.py,53,0
src/core/strategy/templates/trend_strategies.py,12,1
src/core/strategy/templates/mean_reversion.py,16,1
src/core/strategy/templates/__init__.py,2,0
src/core/strategy/templates/moving_average.py,19,1
src/core/strategy/__init__.py,2,0
src/core/risk.py,66,0
src/core/evolution/fitness.py,8,0
src/core/evolution/population.py,5,0
src/core/evolution/operators.py,22,0
src/core/evolution/engine.py,25,0
src/core/evolution/__init__.py,2,0
src/core/validation_models.py,41,0
src/core/config_access.py,50,0
src/core/anomaly.py,51,0
src/core/regime.py,57,0
src/core/state_store.py,51,0
src/core/risk_manager.py,18,1
src/core/exceptions.py,325,1
src/core/market_data.py,75,0
src/core/context_packet.py,53,0
src/core/_event_bus_impl.py,431,0
src/core/instrument.py,187,1
src/core/risk/var_calculator.py,13,0
src/core/risk/stress_testing.py,8,0
src/core/risk/position_sizing.py,19,0
src/core/risk/manager.py,14,1
src/core/risk/__init__.py,2,0
src/core/adaptation.py,91,0
src/core/sensory_organ.py,41,0
src/core/population_manager.py,374,2
src/core/__init__.py,67,0
src/core/genome.py,270,0
src/core/performance/market_data_cache.py,93,0
src/core/performance/__init__.py,25,0
src/core/types.py,26,0
src/core/risk_ports.py,68,0
src/core/interfaces.py,291,0
src/domain/models.py,72,0
src/domain/__init__.py,24,2
src/data_integration/dukascopy_ingestor.py,376,0
src/data_integration/real_data_integration.py,19,0
src/data_integration/data_fusion.py,480,1
src/data_integration/__init__.py,77,1
src/data_integration/yfinance_gateway.py,92,1
src/thinking/analysis/volume_analysis.py,117,0
src/thinking/analysis/performance_analyzer.py,509,0
src/thinking/analysis/risk_analyzer.py,390,0
src/thinking/analysis/correlation_analyzer.py,298,1
src/thinking/analysis/__init__.py,19,0
src/thinking/analysis/market_analyzer.py,313,1
src/thinking/adaptation/tactical_adaptation_engine.py,358,2
src/thinking/adaptation/__init__.py,0,0
src/thinking/patterns/trend_detector.py,369,1
src/thinking/patterns/cycle_detector.py,309,1
src/thinking/patterns/anomaly_detector.py,332,1
src/thinking/patterns/cvd_divergence_detector.py,207,1
src/thinking/patterns/__init__.py,19,0
src/thinking/patterns/regime_classifier.py,362,1
src/thinking/phase3_orchestrator.py,545,8
src/thinking/ecosystem/specialized_predator_evolution.py,44,6
src/thinking/ecosystem/__init__.py,0,0
src/thinking/prediction/predictive_market_modeler.py,521,3
src/thinking/prediction/predictive_modeler.py,61,0
src/thinking/prediction/market_data_generator.py,134,1
src/thinking/prediction/__init__.py,0,0
src/thinking/learning/real_time_learner.py,18,1
src/thinking/learning/meta_cognition_engine.py,423,1
src/thinking/learning/__init__.py,0,0
src/thinking/thinking_manager.py,178,4
src/thinking/sentient_adaptation_engine.py,27,0
src/thinking/memory/pattern_memory.py,256,2
src/thinking/memory/__init__.py,1,0
src/thinking/memory/faiss_memory.py,22,2
src/thinking/inference/__init__.py,1,0
src/thinking/models/normalizers.py,167,0
src/thinking/models/__init__.py,1,0
src/thinking/models/types.py,70,0
src/thinking/competitive/competitive_intelligence_system.py,975,2
src/thinking/competitive/__init__.py,0,0
src/thinking/adversarial/red_team_ai.py,782,3
src/thinking/adversarial/market_gan.py,338,7
src/thinking/adversarial/adversarial_trainer.py,128,0
src/thinking/adversarial/__init__.py,0,0
src/thinking/__init__.py,23,0
src/risk/real_risk_manager.py,20,0
src/risk/risk_manager_impl.py,331,3
src/risk/__init__.py,10,0
src/phase2d_integration_validator.py,151,6
src/governance/audit_logger.py,291,0
src/governance/safety_manager.py,49,0
src/governance/vault/__init__.py,2,0
src/governance/system_config.py,285,0
src/governance/audit/__init__.py,2,0
src/governance/audit_trail.py,13,0
src/governance/__init__.py,1,0
src/governance/strategy_registry.py,322,0
src/governance/fitness/__init__.py,1,0
src/governance/registry/__init__.py,1,0
src/core.py,238,1
src/validation/real_market_validation.py,685,3
src/validation/honest_validation_framework.py,476,2
src/validation/phase2_validation_suite.py,365,3
src/validation/phase2d_simple_integration.py,386,4
src/validation/validation_framework.py,427,2
src/validation/phase2c_validation_suite.py,194,2
src/validation/accuracy/__init__.py,5,0
src/validation/accuracy/intelligence_validator.py,146,0
src/validation/phase2d_integration_validator.py,294,4
src/validation/models.py,7,1
src/validation/__init__.py,5,0
src/validation/performance/load_tester.py,99,0
src/validation/performance/benchmarker.py,110,0
src/validation/performance/__init__.py,7,0
src/validation/performance/memory_profiler.py,70,0
src/__init__.py,10,0
src/orchestration/enhanced_intelligence_engine.py,274,6
src/orchestration/compose.py,574,7
src/orchestration/__init__.py,0,0
src/sentient/sentient_predator.py,189,3
src/sentient/adaptation/adaptation_controller.py,229,0
src/sentient/adaptation/__init__.py,0,0
src/sentient/learning/real_time_learning_engine.py,179,0
src/sentient/learning/__init__.py,0,0
src/sentient/memory/faiss_pattern_memory.py,189,0
src/sentient/memory/__init__.py,0,0
src/sentient/__init__.py,0,0
src/performance/vectorized_indicators.py,92,0
src/performance/__init__.py,72,1
src/pnl.py,296,1
src/data_sources/yahoo_finance.py,23,0
src/data_sources/__init__.py,0,0
